trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
ACTRN12613000198729	CARPETS	Phase 1	NOT_RECRUITING	SA	19/02/2013	1/10/2015	Autologous GD2 chimeric antigen receptor-expressing peripheral blood T cells; Dabrafenib; Dabrafenib + GD2-iCAR-PBT + Trametinib; GD2-iCAR-PBT; Trametinib	autologous_CAR-T-cell_therapy,GD2-targeting; MEK_inhibitor; BRAF_V600_inhibitor; BRAF_V600_inhibitor + MEK_inhibitor + autologous_CAR-T-cell_therapy,GD2-targeting	Dabrafenib + GD2-iCAR-PBT + Trametinib; Autologous GD2 chimeric antigen receptor-expressing peripheral blood T cells; Dabrafenib + GD2-iCAR-PBT + Trametinib	BRAF_V600_inhibitor + MEK_inhibitor + autologous_CAR-T-cell_therapy,GD2-targeting; BRAF_V600_inhibitor + MEK_inhibitor + autologous_CAR-T-cell_therapy,GD2-targeting	Nil known	A phase I study of the safety and immune effects of an escalating dose of autologous GD2 chimeric antigen receptor-expressing peripheral blood T cells in patients with GD2-positive metastatic melanoma and refractory solid tumours	Refractory solid tumours; Metastatic melanoma	5000 - Adelaide	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12613000198729
ACTRN12613000297729	ENG2	Phase 1 / Phase 2	Stopped early	VIC, NSW	18/03/2013	8/02/2013	Doxorubicin; Doxorubicin + Panitumumab; Ifosfamide; Panitumumab	alkylating_agent; doxorubicin; anti-EGFR_monoclonal_antibody; anthracycline; anthracycline + anti-EGFR_monoclonal_antibody	Doxorubicin + Panitumumab; Doxorubicin + Panitumumab; Ifosfamide	anthracycline + anti-EGFR_monoclonal_antibody; alkylating_agent; anthracycline + anti-EGFR_monoclonal_antibody; doxorubicin	ENG2	A Phase 1/2 study to determine the effect of EGFR targeted Doxorubicin loaded EnGeneIC Delivery Vehicles (VEDVDox) on progression free survival in Patients with Recurrent Glioblastoma Multiforme (GBM) Expressing Epidermal Growth Factor Receptor (EGFR)	Recurrent Glioblastoma Multiforme		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12613000297729
ACTRN12613000556741	ACTRN12613000556741		Stopped early	NSW, ACT, QLD, TAS, VIC, NT, WA, SA	17/05/2013	9/09/2013	Napabucasin; Placebo	placebo; cancer_stemness_inhibitor	Napabucasin; Placebo	cancer_stemness_inhibitor; placebo	None	A randomised phase III double-blind study to evaluate the effect of BBI608 or placebo on overall survival in patients with pretreated advanced colorectal carcinoma	Advanced (metastatic or locally advanced) colorectal cancer		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12613000556741
ACTRN12613000866707	ACTRN12613000866707	Phase 1 / Phase 2	Stopped early	QLD	6/08/2013	16/09/2015					Nil	Phase I/II open-label clinical trial of autologous Epstein-Barr virus-specific T cell therapy as consolidative treatment following chemotherapy for metastatic EBV-associated nasopharyngeal carcinoma.	Metastatic nasopharyngeal carcinoma		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12613000866707
ACTRN12613001061729	PMCC-12-79	Phase 1	STATUS_UNKNOWN	VIC	23/09/2013	22/07/2013	Pidnarulex	RNA_polymerase_I_transcription_inhibitor	Pidnarulex	RNA_polymerase_I_transcription_inhibitor	Peter MacCallum Cancer Centre Protocol No. PMCC 12/79	A Phase 1, Open-Label, Dose Escalation, Safety, Pharmacokinetic, and Pharmacodynamic Study of Intravenously Administered CX-5461 in Patients with Advanced Haematologic Malignancies	Any advanced Haematologic Malignancy	3002 - East Melbourne	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12613001061729
ACTRN12614000365662	ACTRN12614000365662	Phase 1	Recruiting	NZ	7/04/2014	28/04/2014	Oraxol; Oraxol + Paclitaxel; Paclitaxel	taxane	Oraxol + Paclitaxel; Paclitaxel; Oraxol + Paclitaxel	taxane	Nil	Patients with cancer for whom IV paclitaxel (at a dose of 80 mg/m2 IV over 1 hour) is indicated will be treated with intravenous paclitaxel and Oraxol (Paclitaxel + HM30181AK-US) to evaluate bioavailability, safety and tolerability of Oraxol.	Cancer	Dunedin	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12614000365662
ACTRN12614000612617	LL1	Phase 1 / Phase 2	Stopped early	SA	6/06/2014		Monepantel	anthelmintics	Monepantel	anthelmintics	LL1	A Phase I/II Study of the Tolerability, Safety and Pharmacokinetics of Oral Monepantel (MPL) in Individuals with Treatment-Refractory Solid Tumours.	Cancer		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12614000612617
ACTRN12614000789662	ACTRN12614000789662	Phase 2	Not yet recruiting	NSW	24/07/2014		Luminespib	HSP90_inhibitor	Luminespib	HSP90_inhibitor	Nil	A Randomised controlled Phase II trial of the pharmacodynamic effects of the heat shock protein 90 (Hsp90) inhibitor AUY922 in high-risk, localised prostate cancer	Prostate Cancer	2050 - Missenden Road	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12614000789662
ACTRN12614001181695	BOSTON-II	Phase 1	Recruiting	VIC	11/11/2014	2/11/2015	Pembrolizumab; Radiotherapy	radiotherapy; anti-PD-1_monoclonal_antibody	Pembrolizumab; Radiotherapy	anti-PD-1_monoclonal_antibody; radiotherapy	Nil	A pilot study to assess the safety and feasibility of stereotactic ablative body radiosurgery combined with MK-3475 in patients with oligometastases from breast cancer.	Metastatic Breast Cancer (1-5 metastases)		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12614001181695
ACTRN12614001248651	MesomiR-1	Phase 1	Recruiting	NSW	28/11/2014	29/09/2014	Dexamethasone; Dexamethasone + TargomiRs; TargomiRs	glucocorticoid; miR-16_miRNA_mimic; glucocorticoid + miR-16_miRNA_mimic	Dexamethasone; Dexamethasone + TargomiRs; TargomiRs; Dexamethasone + TargomiRs	glucocorticoid; glucocorticoid + miR-16_miRNA_mimic; miR-16_miRNA_mimic; glucocorticoid + miR-16_miRNA_mimic	Nil	MesomiR 1: A Phase I study of intravenously administered Epidermal Growth Factor Receptor (EGFR)-targeted, EnGeneIC Delivery Vehicle (EDV)-packaged, miR-16 mimic (TargomiRs) for patients with Malignant Pleural Mesothelioma (MPM) and advanced Non-Small Cell Lung Cancer (NSCLC) failing on standard therapy	Malignant Pleural Mesothelioma; Advanced Non Small Cell Lung Cancer	2139 - Concord Repatriation Hospital; 2050 - Camperdown; 2065 - St Leonards	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12614001248651
